INPUT,COMMON,SCIENTIFIC,QAQC,ACP,ACP_EST,BLSC,BLSC_EST,CRD,CRD_EST,WBPHS,WBPHS_EST,YKD,YKD_EST
BEAV,Beaver,Castor canadensis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BLBE,Black Bear,Ursus americana,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BRBE,Brown Bear,Ursus arctos,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
CARI,Caribou,Rangifer tarandus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
COYO,Coyote,Canas latrans,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
DCARI,Caribou,Rangifer tarandus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GRIZ,Brown Bear,Ursus arctos,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MAMM,Mammal,mammal spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MOOS,Moose,Alces alces,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MOOSC,Moose,Alces alces,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MOOSE,Moose,Alces alces,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MOOSECALF,Moose,Alces alces,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MOOSO,Moose,Alces alces,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MUOX,Musk Ox,Ovibos moschatus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MUSK,Musk Ox,Ovibos moschatus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MUSKO,Musk Ox,Ovibos moschatus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MUSKY,Musk Ox,Ovibos moschatus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
REIN,Caribou,Rangifer tarandus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RIOT,River Otter,Lutra canadensis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
WMAM,Unknown Mammal,Mammal spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
WOLF,Wolf,Canis lupus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
WOLV,Wolverine,Gulo gulo,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
COWS,Cow,Bos taurus,COWS,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
HORS,Horse,Equus caballus,HORS,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SASQ,Sasquatch,Yeti spp.,SASQ,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BARR,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BLUF,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BOAT,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
CAMP,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
DELE,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
